id;start_date;end_date;language
1;2020-12-03T04:51:33;2020-12-03T02:41:48;SPANISH
2;2020-12-02T09:41:44;2020-12-03T04:46:09;SPANISH
3;2020-12-03T00:37:03;2020-12-02T11:11:12;FRENCH
4;2020-12-02T15:54:34;2020-12-03T03:26:00;FRENCH
5;2020-12-03T01:24:52;2020-12-03T06:11:51;FRENCH
6;2020-12-02T19:17:13;2020-12-03T07:25:27;FRENCH
7;2020-12-02T21:02:33;2020-12-02T14:53:24;FRENCH
8;2020-12-02T19:58:46;2020-12-03T06:14:54;SPANISH
9;2020-12-02T18:39:55;2020-12-02T15:21:18;SPANISH
10;2020-12-03T02:51:59;2020-12-02T13:26:29;SPANISH
