id;date;description;amount
1;2020-12-03T03:49:17;Mississippi New Mexico Towels;97552
2;2020-12-03T06:27:47;Plastic Developer actuating;40055
3;2020-12-02T14:20:57;Persevering;36513
4;2020-12-03T05:34:28;hard drive olive Sausages;7818
5;2020-12-02T11:28:21;generate Portugal;92824
6;2020-12-02T20:01:38;Rustic architect;86710
7;2020-12-03T05:58:27;Home Loan Account;62373
8;2020-12-02T14:20:33;Iowa Rhode Island;37746
9;2020-12-02T15:45:45;Tokelau Rhode Island;33898
10;2020-12-03T07:21:32;Ergonomic Triple-buffered infrastructures;72605
